緯度,経度,color,color2
36.74608699,137.2272487,4,3
36.72440222,137.2657548,3,3
36.72818967,137.2372287,2,3
36.7459705,137.2339991,4,3
36.7303457,137.1824913,4,3
36.74323293,137.2453076,4,3
36.73374603,137.2025693,4,3
36.71949193,137.233932,4,3
36.74713278,137.1879836,2,3
36.74607077,137.2338608,4,3
36.76081459,137.257863,2,3
36.72435568,137.2354719,4,3
36.74602657,137.2339908,4,3
36.73904015,137.2570587,4,3
36.72354103,137.2357269,4,3
36.72450688,137.2351462,4,3
36.74575304,137.2275052,2,3
36.72738226,137.2381357,2,3
36.74884081,137.2475614,1,3
36.71784037,137.2837619,4,3
36.73376186,137.2027865,4,3
36.72037954,137.2343351,0,3
36.74606298,137.2335645,4,3
36.74634062,137.3003235,0,3
36.7216349,137.2652311,1,3
36.7518137,137.2451041,4,3
36.73236347,137.2784856,3,3
36.71971132,137.3149675,4,3
36.73873595,137.229677,2,3
36.75185864,137.244206,2,3
36.73995517,137.2567945,2,3
36.7265384,137.2895169,2,3
36.74774442,137.309143,2,3
36.74829733,137.2363467,2,3
36.72459438,137.2350179,0,3
36.74214929,137.3245218,2,3
36.7291236,137.2360886,1,3
36.75507033,137.3070219,3,3
36.74574483,137.242829,4,3
36.72446135,137.2347404,4,3
36.73760233,137.2431033,4,3
36.73381745,137.2029544,4,3
36.74720339,137.2378492,2,3
36.73798792,137.2058073,1,3
36.74701649,137.2341283,2,3
36.73049731,137.3303585,4,3
36.75356844,137.1991418,2,3
36.72445113,137.2353436,4,3
36.7178026,137.3090759,2,3
36.73023487,137.2244557,0,3
36.7281181,137.2372879,2,3
36.7367441,137.2599549,2,3
36.72463823,137.2037063,4,3
36.73511522,137.2423203,4,3
36.74796569,137.2451918,4,3
36.71898438,137.2338291,4,3
36.74511295,137.2215407,1,3
36.72418755,137.2367651,4,3
36.73066025,137.2998511,2,3
36.73188306,137.3324008,4,3
36.74603917,137.2997996,2,3
36.72861105,137.2427291,1,3
36.74317458,137.2450427,4,3
36.72917174,137.2373348,2,3
36.74552841,137.2387411,4,3
36.71797837,137.2838392,4,3
36.75503035,137.2968457,3,3
36.71802309,137.2771993,1,3
36.72234149,137.2350249,4,3
36.71875672,137.2337581,4,3
36.73330634,137.2869027,2,3
36.71803283,137.2819785,4,3
36.71814513,137.257845,1,3
36.74471268,137.2959833,2,3
36.75533302,137.3130748,3,3
36.74228631,137.2373059,0,3
36.71773726,137.2910266,4,3
36.73379365,137.2027865,4,3
36.73134202,137.3014421,2,3
36.73758774,137.203903,4,3
36.72384529,137.2401285,4,3
36.72830764,137.2383553,4,3
36.72356491,137.2356578,4,3
36.74147909,137.3229106,2,3
36.71054571,137.2972882,2,3
36.73291298,137.2721621,2,3
36.73451794,137.2083007,4,3
36.73070745,137.228278,2,3
36.74590979,137.234582,4,3
36.74497792,137.297174,2,3
36.71878057,137.2337582,4,3
36.73376979,137.2028458,4,3
36.73408294,137.2047604,4,3
36.75536609,137.313285,3,3
36.71782057,137.2837624,4,3
36.72946205,137.2973159,2,3
36.72791887,137.2363744,2,3
36.74595304,137.2371102,0,3
36.74706138,137.186599,1,3
36.74610234,137.2272953,4,3
36.74633714,137.247691,0,3
36.72831404,137.2366972,2,3
36.73367804,137.3349193,4,3
36.74588604,137.2347422,4,3
36.72633527,137.2372143,4,3
36.72428668,137.2382696,0,3
36.72787967,137.2372679,0,3
36.73063366,137.1846949,4,3
36.73019662,137.1824007,4,3
36.73461997,137.203725,0,3
36.70475494,137.2836238,2,3
36.72387456,137.235191,2,3
36.72337369,137.235008,2,3
36.74730686,137.2376123,2,3
36.68867795,137.2710991,2,3
36.66648794,137.2037604,0,3
36.69599643,137.2444732,0,3
36.67877809,137.2212677,4,3
36.66290956,137.2356339,2,3
36.68223958,137.2530697,4,3
36.69614739,137.2166594,2,3
36.72194787,137.2638568,2,3
36.67895117,137.2456144,3,3
36.69491996,137.2132164,3,3
36.67145124,137.2342832,1,3
36.67550175,137.2604449,1,3
36.72846891,137.224253,4,3
36.68436388,137.2703115,4,3
36.72078579,137.2537871,4,3
36.68360882,137.2266583,1,3
36.6502129,137.23412,1,3
36.69873957,137.2110299,4,3
36.68878205,137.2170931,4,3
36.69527123,137.2366568,3,3
36.68869877,137.2311666,4,3
36.71812349,137.2501496,4,3
36.6785985,137.2143566,3,3
36.69995199,137.2348451,3,3
36.67421519,137.2139864,3,3
36.66681192,137.2042051,4,3
36.71284141,137.2320913,0,3
36.67239911,137.2709722,3,3
36.70296082,137.2550878,2,3
36.69580254,137.2428548,2,3
36.6784264,137.2260889,4,3
36.66689893,137.202921,4,3
36.69199772,137.2105496,4,3
36.69254738,137.2364913,3,3
36.67899,137.2142937,4,3
36.69558487,137.2368926,0,3
36.69657644,137.2658357,2,3
36.69412461,137.2148029,2,3
36.68019037,137.2107934,0,3
36.70937276,137.2321445,0,3
36.71575509,137.2600918,3,3
36.68959637,137.2213266,4,3
36.65509777,137.2060945,4,3
36.68382119,137.2644167,0,3
36.69713449,137.2513689,4,3
36.67746552,137.2368537,4,3
36.72132702,137.2506355,4,3
36.70433364,137.2493887,4,3
36.69600281,137.243081,4,3
36.66422419,137.2403748,2,3
36.71874989,137.2721377,4,3
36.70524677,137.2495366,4,3
36.71042097,137.2494778,4,3
36.67515497,137.2539297,3,3
36.64468739,137.2644317,2,3
36.66728154,137.2196498,1,3
36.65233491,137.2138464,2,3
36.69427688,137.2365203,3,3
36.66722759,137.2162142,4,3
36.66912623,137.2006481,1,3
36.66459313,137.201101,1,3
36.7029663,137.2228829,4,3
36.71310522,137.2418173,3,3
36.71871494,137.223651,4,3
36.68394454,137.2513867,4,3
36.68265464,137.2295935,4,3
36.69719096,137.2293367,2,3
36.69241781,137.2147346,2,3
36.6822596,137.2281405,2,3
36.67901911,137.2145882,4,3
36.66159514,137.2123687,1,3
36.67520298,137.2536636,3,3
36.68911469,137.2611636,2,3
36.68843398,137.2266953,4,3
36.65888237,137.2117933,2,3
36.66790318,137.2156417,2,3
36.66931611,137.2363775,4,3
36.66878782,137.198064,1,3
36.69695802,137.2132893,0,3
36.67438485,137.2171097,0,3
36.70698178,137.2101732,4,3
36.67165054,137.2213617,4,3
36.71627305,137.2604061,3,3
36.70762165,137.2495561,4,3
36.66729068,137.2247622,1,3
36.69261235,137.2246288,4,3
36.66053291,137.2230323,1,3
36.70661773,137.2591125,3,3
36.69819006,137.2570714,4,3
36.69225824,137.2266043,0,3
36.64852964,137.2139704,2,3
36.68126114,137.2595709,4,3
36.68669151,137.2418992,4,3
36.67877857,137.2229799,4,3
36.71563761,137.2640649,2,3
36.67205616,137.2016634,4,3
36.71447647,137.2261139,1,3
36.66681849,137.2096851,4,3
36.65414246,137.2438297,2,3
36.6978831,137.2106013,0,3
36.70274648,137.2722671,2,3
36.66575632,137.2016048,3,3
36.67733842,137.2639398,2,3
36.7029468,137.262927,3,3
36.66723875,137.2172749,4,3
36.68918304,137.2408642,1,3
36.67877723,137.2342167,1,3
36.69142675,137.236431,3,3
36.71529565,137.2228604,4,3
36.68491326,137.2020838,4,3
36.67948764,137.2015823,4,3
36.69292721,137.2026828,4,3
36.69231699,137.2072154,4,3
36.66112697,137.2104052,0,3
36.68992129,137.2033487,4,3
36.69775081,137.2268794,1,3
36.71608639,137.2330185,4,3
36.65156875,137.2097485,4,3
36.67532774,137.2195675,4,3
36.69202034,137.2366043,0,3
36.69726637,137.2455583,2,3
36.68413317,137.269728,4,3
36.7198447,137.2238051,4,3
36.67898781,137.2059158,0,3
36.7014917,137.245155,2,3
36.6552522,137.209674,4,3
36.70007371,137.2659916,1,3
36.69955876,137.2371503,3,3
36.71403763,137.2159055,3,3
36.68881628,137.2211562,4,3
36.66688204,137.2051354,4,3
36.67688848,137.2404215,3,3
36.67809466,137.2313517,4,3
36.66629159,137.2211215,1,3
36.7276579,137.2493424,2,3
36.69235525,137.2129268,1,3
36.69024615,137.2089674,4,3
36.72881876,137.2491891,2,3
36.72241858,137.2175531,4,3
36.68951182,137.2123183,4,3
36.67606666,137.2462752,3,3
36.67263946,137.2448127,4,3
36.69795884,137.2130958,4,3
36.71379361,137.2495337,4,3
36.70546689,137.2293264,4,3
36.71588768,137.219221,0,3
36.68903463,137.2124214,4,3
36.71866525,137.2236204,4,3
36.67621081,137.2018671,4,3
36.69159651,137.2240364,1,3
36.66807588,137.2323383,0,3
36.66732331,137.2179165,4,3
36.6947474,137.2126851,3,3
36.70225592,137.2590594,4,3
36.68139948,137.2510573,2,3
36.68984239,137.2114641,4,3
36.70284374,137.2592078,0,3
36.66229875,137.2097467,4,3
36.66987433,137.23702,3,3
36.66327549,137.2066967,0,3
36.67613135,137.2017882,4,3
36.720758,137.2507716,0,3
36.6780092,137.2319877,4,3
36.69745719,137.2515984,0,3
36.67613134,137.2018375,4,3
36.67703324,137.265777,2,3
36.72145898,137.2638902,3,3
36.64367797,137.2096363,0,3
36.64345813,137.2514173,2,3
36.68780708,137.2270121,4,3
36.66972291,137.2259813,1,3
36.68929322,137.2033865,4,3
36.68109023,137.2580391,3,3
36.66776578,137.2707035,2,3
36.69808983,137.2510686,4,3
36.68692733,137.2406718,4,3
36.68017479,137.2019636,4,3
36.69253201,137.2156562,0,3
36.66442127,137.23581,2,3
36.68506682,137.2461423,4,3
36.70298735,137.221061,4,3
36.66682756,137.2051005,4,3
36.69242278,137.2264358,4,3
36.73013264,137.2211287,4,3
36.63967022,137.2558615,2,3
36.70757061,137.2389446,3,3
36.67135561,137.2434204,4,3
36.71638726,137.2182782,2,3
36.66964217,137.2370254,0,3
36.65401445,137.2311493,4,3
36.68709771,137.239709,4,3
36.67078557,137.2426535,2,3
36.67254965,137.2194129,2,3
36.70050933,137.2205798,4,3
36.71376587,137.249572,4,3
36.66949943,137.2375325,4,3
36.68962277,137.2158435,0,3
36.69927827,137.2132504,0,3
36.67219973,137.2715777,3,3
36.68820058,137.2681127,2,3
36.65667074,137.2138369,2,3
36.73578561,137.2557453,4,3
36.7017758,137.2116422,2,3
36.67891962,137.2368243,3,3
36.69579924,137.2303296,0,3
36.70283902,137.2601479,3,3
36.68827128,137.2330476,4,3
36.69196413,137.2138608,4,3
36.69109743,137.2277599,2,3
36.67510124,137.255015,3,3
36.69915049,137.2366994,3,3
36.69124205,137.2592391,1,3
36.67547513,137.2109274,0,3
36.72137408,137.2490208,2,3
36.67624018,137.2316526,1,3
36.72082321,137.2536812,4,3
36.64750518,137.2136269,2,3
36.68139518,137.2614468,4,3
36.67852984,137.2017869,4,3
36.65344947,137.2138718,2,3
36.71554671,137.246232,3,3
36.69831716,137.2118705,4,3
36.67624324,137.2446581,3,3
36.69110256,137.2379194,2,3
36.66762291,137.2322096,2,3
36.65501889,137.2144107,0,3
36.69133142,137.2127651,2,3
36.70436384,137.2197315,2,3
36.67943329,137.199906,0,3
36.69206627,137.2301455,2,3
36.70865937,137.2591167,3,3
36.69592801,137.2186529,2,3
36.69741981,137.2433069,2,3
36.71221207,137.2303886,1,3
36.6779708,137.2331439,4,3
36.68230827,137.2532208,4,3
36.68121473,137.2610577,0,3
36.70040741,137.2117076,0,3
36.70336657,137.2639482,0,3
36.72097466,137.2524332,4,3
36.70303511,137.2208982,4,3
36.70810389,137.23081,0,3
36.64971965,137.2587314,2,3
36.67727653,137.2379761,3,3
36.70321037,137.2476531,3,3
36.68841392,137.2545409,2,3
36.68140347,137.2610528,4,3
